id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
925086,Condo in New Orleans · ★4.97 · 2 bedrooms · 2 beds · 2 baths,1976003,Sebastien,Central Business District,29.94697,-90.07035,Entire home/apt,200,30,66,07-05-2019,0.71,1,365
936112,Home in New Orleans · ★4.94 · 9 bedrooms · 2 beds · 10 baths,4981655,Jim,Lower Garden District,29.9386,-90.06863,Entire home/apt,1121,30,54,02-03-2022,0.42,14,291
938165,Home in New Orleans · ★4.67 · 5 bedrooms · 5 beds · 4 baths,4605202,Wayne,Fairgrounds,29.9799,-90.08212,Entire home/apt,315,3,173,06-11-2023,1.34,4,333
938262,Home in New Orleans · ★5.0 · 2 bedrooms · 1 bed · 1 private bath,5067495,Sarah Hansel,Audubon,29.93421,-90.11811,Private room,114,30,6,22-07-2018,0.09,1,0
944351,Bed and breakfast in New Orleans · ★4.84 · 1 bedroom · 1 bed · 1 private bath,4981655,Jim,Lower Garden District,29.93846,-90.06831,Hotel room,39,30,235,29-10-2023,1.82,14,67
945787,Bed and breakfast in New Orleans · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,4981655,Jim,Lower Garden District,29.93846,-90.06831,Private room,48,30,258,31-10-2023,1.97,14,67
945961,Bed and breakfast in New Orleans · ★4.69 · 1 bedroom · 1 bed · 1 private bath,4981655,Jim,Lower Garden District,29.93846,-90.06831,Hotel room,49,30,176,29-10-2023,1.35,14,0
945986,Bed and breakfast in New Orleans · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,4981655,Jim,Lower Garden District,29.93846,-90.06831,Hotel room,39,30,207,10-10-2023,2,14,67
947400,Bungalow in New Orleans · ★4.95 · 1 bedroom · 1 bed · 1 bath,5134411,Jessica,Lower Garden District,29.93185,-90.07035,Entire home/apt,100,1,636,30-07-2023,4.86,1,214
956635,Guesthouse in New Orleans · ★4.98 · 1 bedroom · 2 beds · 1 bath,5199957,Fred And Renee,Fairgrounds,29.98323,-90.0866,Entire home/apt,75,30,114,28-02-2023,0.94,1,338
959230,Home in New Orleans · ★4.62 · 1 bedroom · 1 bed · 1.5 shared baths,2156820,J,Broadmoor,29.94629,-90.1009,Private room,51,30,244,18-03-2020,1.9,5,0
959286,Home in New Orleans · ★4.54 · 1 bedroom · 1 bed · 1.5 shared baths,2156820,J,Broadmoor,29.94653,-90.09941,Private room,51,30,199,04-05-2020,1.57,5,0
959307,Home in New Orleans · ★4.59 · 1 bedroom · 2 beds · 1.5 shared baths,2156820,J,Broadmoor,29.94712,-90.10121,Private room,51,30,205,08-03-2020,1.61,5,0
967567,Home in New Orleans · ★4.74 · 2 bedrooms · 3 beds · 2.5 baths,5278748,Lolis,Treme - Lafitte,29.96625,-90.06758,Entire home/apt,90,30,379,30-04-2023,2.91,1,59
969714,Home in Arabi · 2 bedrooms · 7 beds · 1 bath,5154893,Leila,Holy Cross,29.95668,-90.00772,Entire home/apt,299,3,1,26-02-2020,0.02,2,89
984827,Bed and breakfast in New Orleans · ★4.80 · 1 bedroom · 1 bed · 1 private bath,4981655,Jim,Lower Garden District,29.93761,-90.06711,Hotel room,63,30,288,08-10-2023,2.8,14,67
984836,Bed and breakfast in New Orleans · ★4.77 · 1 bedroom · 1 bed · 1 private bath,4981655,Jim,Lower Garden District,29.93837,-90.06861,Hotel room,44,30,111,29-10-2023,1.01,14,67
995213,Home in New Orleans · ★4.95 · 3 bedrooms · 5 beds · 1.5 baths,5465617,Dawn-Marie,Lower Garden District,29.93839,-90.07349,Entire home/apt,500,2,129,29-05-2023,1,1,247
997365,Rental unit in New Orleans · ★4.41 · 2 bedrooms · 2 beds · 1 bath,5480237,Raymond,Treme - Lafitte,29.96288,-90.06642,Entire home/apt,107,1,320,17-11-2023,2.47,4,140
1018723,Home in New Orleans · ★4.72 · 1 bedroom · 1 bed · 1 bath,5607947,Jenna,Treme - Lafitte,29.96439,-90.06782,Entire home/apt,106,30,200,09-03-2020,1.55,1,0
1042528,Home in New Orleans · ★4.92 · 1 bedroom · 1 bed · 1 private bath,5739566,Brooke And Eliot,Bayou St. John,29.9765,-90.08845,Private room,90,2,356,19-11-2023,2.76,1,41
1048233,Serviced apartment in New Orleans · ★4.93 · 1 bedroom · 1 bed · 1 bath,5770796,Sylvia,Marigny,29.96407,-90.05789,Entire home/apt,264,2,247,11-09-2023,1.92,2,69
1056897,Home in New Orleans · ★4.92 · 1 bedroom · 1 bed · 1 private bath,5821538,Georgia,Lower Garden District,29.93417,-90.07281,Private room,109,30,205,08-03-2020,1.66,2,365
1073455,Rental unit in New Orleans · ★4.96 · 1 bedroom · 1 bed · 2 baths,5904943,Roger And Rico,Bywater,29.95967,-90.04474,Entire home/apt,66,30,78,21-05-2023,0.6,1,365
1082298,Rental unit in New Orleans · ★4.75 · 3 bedrooms · 3 beds · 2 baths,5951318,Dr. Therese,Lake Terrace & Oaks,30.02421,-90.06728,Entire home/apt,195,30,61,22-10-2023,0.61,2,270
1092214,Home in New Orleans · ★4.90 · 1 bedroom · 1 bed · 1 private bath,5821538,Georgia,Lower Garden District,29.9361,-90.07196,Private room,125,30,152,26-02-2020,1.18,2,364
1094521,Guest suite in New Orleans · ★4.89 · 1 bedroom · 1 bed · 1 bath,6013357,Elisa,Bywater,29.96743,-90.04974,Entire home/apt,114,3,331,08-11-2023,3.93,1,361
1100195,Home in New Orleans · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,6043636,Jordan,Treme - Lafitte,29.97406,-90.07702,Private room,50,30,199,13-04-2018,1.55,1,12
1103936,Rental unit in New Orleans · ★4.76 · 3 bedrooms · 3 beds · 1 bath,6062935,Deanie,City Park,29.98048,-90.09927,Entire home/apt,300,3,111,01-10-2023,1.19,1,341
1116726,Guest suite in New Orleans · ★4.94 · 1 bedroom · 1 bed · 1 bath,4847397,Scott,Treme - Lafitte,29.96641922,-90.06938934,Entire home/apt,139,30,321,25-11-2023,2.49,2,164
1174901,Home in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,4163388,N L,Holy Cross,29.95915,-90.02643,Entire home/apt,110,30,6,01-01-2019,0.05,2,0
1186700,Home in New Orleans · ★4.91 · 5 bedrooms · 9 beds · 3 baths,4710746,Sara,Marigny,29.96501,-90.06108,Entire home/apt,664,2,192,26-11-2023,1.82,1,314
1187616,Home in New Orleans · ★5.0 · 1 bedroom · 1 bed · 1 private bath,6494296,Daniel,Mid-City,29.97302,-90.09915,Private room,65,100,3,10-07-2018,0.05,1,0
1247718,Loft in New Orleans · ★4.84 · 1 bedroom · 1 bed · 1 bath,4841202,Matilde,Lower Garden District,29.93397,-90.07282,Entire home/apt,44,30,56,16-03-2020,0.46,4,5
1283353,Rental unit in New Orleans · ★4.75 · 2 bedrooms · 3 beds · 1 bath,5316723,Gabrielle,St. Claude,29.96774,-90.03713,Entire home/apt,102,2,515,19-11-2023,4.06,1,80
1313719,Rental unit in New Orleans · ★5.0 · 3 bedrooms · 4 beds · 2 baths,6132575,Joshua,Bayou St. John,29.97527,-90.08379,Entire home/apt,281,1,27,25-11-2023,1.92,1,108
1316954,Rental unit in New Orleans · ★4.43 · 1 bedroom · 1 bed · 1 bath,7054805,Eric,Central City,29.93423,-90.08124,Entire home/apt,208,30,14,14-03-2017,0.12,1,358
1331004,Rental unit in New Orleans · ★4.76 · 3 bedrooms · 6 beds · 2 baths,323664718,Nichole,Treme - Lafitte,29.96586,-90.06397,Entire home/apt,170,30,136,22-10-2023,1.14,39,84
1352100,Rental unit in New Orleans · ★4.97 · 1 bedroom · 1 bed · 1 bath,7338169,Susan,Bywater,29.96197,-90.04433,Entire home/apt,180,3,279,13-11-2023,2.26,1,329
1377824,Home in New Orleans · ★4.94 · 1 bedroom · 2 beds · 1 bath,5640348,Maria,Bywater,29.9636986,-90.04285503,Entire home/apt,75,30,51,02-10-2023,0.41,1,206
1427307,Home in New Orleans · ★4.95 · 2 bedrooms · 3 beds · 2 baths,7676497,Mac,Bayou St. John,29.97508554,-90.08519269,Entire home/apt,149,3,167,20-11-2023,1.43,1,0
1437652,Home in New Orleans · ★4.75 · 1 bedroom · 1 bed · 1 private bath,7722683,Madison,Black Pearl,29.94086,-90.13441,Private room,61,6,100,27-06-2023,0.81,1,0
1450713,Cottage in New Orleans · ★4.57 · 2 bedrooms · 2 beds · 2.5 baths,7785342,Mamie,Central City,29.936187,-90.080474,Entire home/apt,399,3,78,21-05-2023,0.63,1,319
1452644,Home in New Orleans · ★4.80 · Studio · 6 beds · 1 bath,7793229,Rashida,Holy Cross,29.95697,-90.02314,Entire home/apt,90,30,233,04-12-2020,2.53,1,0
1466244,Home in New Orleans · ★4.95 · 1 bedroom · 1 bed · 1 private bath,7835894,Mary,Uptown,29.93099,-90.10839,Private room,100,30,86,20-12-2019,0.7,1,365
1470392,Home in New Orleans · ★5.0 · 3 bedrooms · 5 beds · 2 baths,7872860,Danetta,East Riverside,29.91899,-90.09143,Entire home/apt,375,90,19,26-02-2020,0.24,1,87
1546854,Guesthouse in New Orleans · ★4.64 · 1 bedroom · 1 bed · 1 bath,8241996,Alex,Irish Channel,29.92554,-90.08017,Entire home/apt,85,2,50,13-11-2023,2.18,2,141
1602821,Hostel in New Orleans · ★4.88 · 1 bedroom · 4 beds · 1 private bath,8540704,Auberge NOLA,Central City,29.93783,-90.07861,Private room,156,30,8,08-04-2014,0.06,4,320
1605798,Rental unit in New Orleans · ★4.84 · 1 bedroom · 1 bed · 1 bath,4796527,Jackson,Central City,29.93678,-90.07981,Entire home/apt,70,1,370,30-11-2023,2.97,3,42
1614892,Bed and breakfast in New Orleans · ★4.97 · 1 bedroom · 2 beds · 1 private bath,8596036,Laura,City Park,29.980228,-90.090805,Private room,135,2,31,03-12-2023,0.26,2,247
